person_id,name,country,race,gender
0,Aveni Miguel,Angola,Africa,Male
1,Diassonema Mucungui,Angola,Africa,Female
2,Paixao Afonso,Angola,Africa,Male
3,Matias Montinho,Angola,Africa,Male
4,Salvador Gordo,Angola,Africa,Male
5,Catarina Sousa,Angola,Africa,Female
6,Samson Colebrooke,Bahamas,Africa,Male
7,Steven Gardiner,Bahamas,Africa,Male
8,Alonzo Russell,Bahamas,Africa,Male
9,Tynia Gaither,Bahamas,Africa,Female
10,Shaunae Miller-Uibo,Bahamas,Africa,Female
11,Anthonique Strachan,Bahamas,Africa,Female
12,Devynne Charlton,Bahamas,Africa,Female
13,Pedrya Seymour,Bahamas,Africa,Female
14,Doneisha Anderson,Bahamas,Africa,Female
15,Brianne Bethel,Bahamas,Africa,Female
16,Megan Moss,Bahamas,Africa,Female
17,Jamal Wilson,Bahamas,Africa,Male
18,Donald Thomas,Bahamas,Africa,Male
19,Izaak Bastian,Bahamas,Africa,Male
20,Joanna Evans,Bahamas,Africa,Female
21,Sadik Mikhou,Bahrain,Africa,Male
22,Birhanu Balew,Bahrain,Africa,Male
23,Dawit Fikadu,Bahrain,Africa,Male
24,John Kibet Koech,Bahrain,Africa,Male
25,Alemu Bekele,Bahrain,Africa,Male
26,Shumi Dechasa,Bahrain,Africa,Female
27,El-Hassan El-Abbassi,Bahrain,Africa,Male
28,Kalkidan Gezahegne,Bahrain,Africa,Female
29,Aminat Yusuf Jamal,Bahrain,Africa,Female
30,Winfred Mutile Yavi,Bahrain,Africa,Female
31,Eunice Chumba,Bahrain,Africa,Female
32,Tejitu Daba,Bahrain,Africa,Female
33,Abdelrahman Mahmoud,Bahrain,Africa,Male
34,Danis Latypov,Bahrain,Africa,Male
35,Maryam Hassani,Bahrain,Africa,Female
36,Abdulla Ahmed,Bahrain,Africa,Male
37,Noor Yussuf Abdulla,Bahrain,Africa,Female
38,Mario Burke,Barbados,Africa,Male
39,Jonathan Jones,Barbados,Africa,Male
40,Shane Brathwaite,Barbados,Africa,Male
41,Tristan Evelyn,Barbados,Africa,Female
42,Sada Williams,Barbados,Africa,Female
43,Tia-Adana Belle,Barbados,Africa,Female
44,Alex Sobers,Barbados,Africa,Male
45,Danielle Titus,Barbados,Africa,Female
46,Didier Kiki,Benin,Africa,Male
47,Noelie Yarigo,Benin,Africa,Female
48,Odile Ahouanwanou,Benin,Africa,Female
49,Celtus Dossou Yovo,Benin,Africa,Male
50,Privel Hinkati,Benin,Africa,Male
51,Marc Dansou,Benin,Africa,Male
52,Nafissath Radji,Benin,Africa,Female
53,Isaac Makwala,Botswana,Africa,Male
54,Leungo Scotch,Botswana,Africa,Male
55,Nijel Amos,Botswana,Africa,Male
56,Bayapo Ndori,Botswana,Africa,Male
57,Zibane Ngozi,Botswana,Africa,Male
58,Baboloki Thebe,Botswana,Africa,Male
59,Christine Botlogetswe,Botswana,Africa,Female
60,Galefele Moroko,Botswana,Africa,Female
61,Amantle Montsho,Botswana,Africa,Female
62,Rajab Mahommed,Botswana,Africa,Male
63,Keamogetse Kenosi,Botswana,Africa,Female
64,James Freeman,Botswana,Africa,Male
65,Magdeline Moyengwa,Botswana,Africa,Female
66,Marthe Koala,Burkina_Faso,Africa,Female
67,Hugues Fabrice Zango,Burkina_Faso,Africa,Male
68,Paul Daumont,Burkina_Faso,Africa,Male
69,Lucas Diallo,Burkina_Faso,Africa,Male
70,Adama Ouedraogo,Burkina_Faso,Africa,Male
71,Angelika Ouedraogo,Burkina_Faso,Africa,Female
72,Faysal Sawadogo,Burkina_Faso,Africa,Male
73,Eric Nzikwinkunda,Burundi,Africa,Male
74,Olivier Irabaruta,Burundi,Africa,Male
75,Francine Niyonsaba,Burundi,Africa,Female
76,Ornella Havyarimana,Burundi,Africa,Female
77,Belly-Cresus Ganira,Burundi,Africa,Male
78,Odrina Kaze,Burundi,Africa,Female
79,Emmanuel Eseme,Cameroon,Africa,Male
80,Albert Mengue,Cameroon,Africa,Male
81,Wilfried Ntsengue,Cameroon,Africa,Male
82,Maxime Yegnong,Cameroon,Africa,Male
83,Ayuk Otay Arrey Sophina,Cameroon,Africa,Female
84,Hortence Atangana,Cameroon,Africa,Female
85,Charly Ndjoume,Cameroon,Africa,Male
86,Norah Elisabeth Milanesi,Cameroon,Africa,Female
87,Sarah Hanffou,Cameroon,Africa,Female
88,Jeanne Gaelle Eyenga,Cameroon,Africa,Female
89,Clementine Meukeugni,Cameroon,Africa,Female
90,Joseph Essombe,Cameroon,Africa,Female
91,Kemar Hyman,Cayman_Islands,Africa,Male
92,Shalysa Wray,Cayman_Islands,Africa,Female
93,Raegan Rutty,Cayman_Islands,Africa,Female
94,Brett Fraser,Cayman_Islands,Africa,Male
95,Jillian Crooks,Cayman_Islands,Africa,Female
96,Francky Mbotto,Central_African_Republic,Africa,Male
97,Chloe Sauvourel,Central_African_Republic,Africa,Female
98,Marlyse Hourtou,Chad,Africa,Female
99,Bachir Mahamat,Chad,Africa,Male
